nbMessage;sizeMessage;tempsMoyen;temps1Message;debit
4000;1500000;1.379118;0.000172;8701213384.206427
4000;1200000;1.136410;0.000142;8447655335.662303
4000;1700000;1.602570;0.000200;8486368770.162926
4000;1800000;1.678696;0.000210;8578086800.707216
4000;2000000;1.855052;0.000232;8625092820.823132
4000;2500000;2.304171;0.000288;8679909459.864424
4000;3000000;2.780477;0.000348;8631612489.511692
4000;4000000;3.864722;0.000483;8280026351.183862
4000;5000000;4.971756;0.000621;8045446312.585905
4000;6000000;6.467119;0.000808;7422161243.669708
4000;7000000;8.802147;0.001100;6362084159.694221
4000;8000000;10.572090;0.001322;6053675004.011743
